source,url,title,price,period,bedrooms,bathrooms,toilets,size_sqm,furnishing,condition,property_type_clean,neighborhood
Jiji,https://jiji.ng/woji/houses-apartments-for-rent/furnished-5bdrm-duplex-in-woji-for-rent-wQXf11dcJlCyQZQOfz6BC2WM.html?page=1&pos=1&cur_pos=1&ads_per_page=24&ads_count=339&lid=2h616tF1dBw_iu38&indexPosition=0,Furnished 5bdrm Duplex in Woji for rent,15000000.0,per annum,5.0,6.0,6.0,580.0,Furnished,Fairly Used,Duplex,Woji
Jiji,https://jiji.ng/port-harcourt/houses-apartments-for-rent/3bdrm-bungalow-in-rd-road-off-okporo-port-harcourt-for-rent-3owC5BkLcHLruLPbkfiGLiB7.html?page=5&pos=14&cur_pos=14&ads_per_page=24&ads_count=339&lid=2h616tF1dBw_iu38&indexPosition=109,"3bdrm Bungalow in Rd Road Off Okporo, Port-Harcourt for rent",4000000.0,per annum,3.0,4.0,4.0,465.0,Unfurnished,Fairly Used,Bungalow,Eliozu / Rumuodara / Rumuibekwe
Jiji,https://jiji.ng/port-harcourt/houses-apartments-for-rent/2bdrm-block-of-flats-in-lekki-gardens-port-harcourt-for-rent-tpOdp5gKrmwgsy2SuVoZW1p.html?page=7&pos=20&cur_pos=20&ads_per_page=24&ads_count=339&lid=2h616tF1dBw_iu38&indexPosition=163,"2bdrm Block of Flats in Lekki Gardens, Port-Harcourt for rent",10000000.0,per annum,2.0,3.0,3.0,555.0,Unfurnished,Fairly Used,Apartment/Flat,GRA / Eagle Island
Jiji,https://jiji.ng/woji/houses-apartments-for-rent/2bdrm-block-of-flats-in-agip-estate-woji-for-rent-6oXAPh0Lh1xF6XfeMUOVixRF.html?page=9&pos=13&cur_pos=13&ads_per_page=24&ads_count=339&lid=2h616tF1dBw_iu38&indexPosition=204,"2bdrm Block of Flats in Agip Estate, Woji for rent",2000000.0,per annum,2.0,3.0,3.0,555.0,Unfurnished,Fairly Used,Apartment/Flat,Woji
Jiji,https://jiji.ng/port-harcourt/houses-apartments-for-rent/3bdrm-block-of-flats-in-cedarwood-estate-port-harcourt-for-rent-86rfwukPOj5a52zw0NMwzYME.html?page=7&pos=10&cur_pos=10&ads_per_page=24&ads_count=339&lid=2h616tF1dBw_iu38&indexPosition=153,"3bdrm Block of Flats in Cedarwood Estate, Port-Harcourt for rent",3500000.0,per annum,3.0,4.0,4.0,555.0,Unfurnished,Fairly Used,Apartment/Flat,SARS Rd / Rumuagholu / NAF Estate
Jiji,https://jiji.ng/woji/houses-apartments-for-rent/2bdrm-block-of-flats-in-agip-estate-road-1-woji-for-rent-5uK0IkJ7pMGY8qGmFIVOVpvf.html?page=9&pos=7&cur_pos=7&ads_per_page=24&ads_count=339&lid=2h616tF1dBw_iu38&indexPosition=198,"2bdrm Block of Flats in Agip Estate Road 1, Woji for rent",2000000.0,per annum,2.0,3.0,3.0,555.0,Semi-Furnished,Fairly Used,Apartment/Flat,Woji
Jiji,https://jiji.ng/port-harcourt/houses-apartments-for-rent/2bdrm-block-of-flats-in-ivory-heights-port-harcourt-for-rent-oO2dDP1MUIPm9Ah0uEg2Z9ZG.html?page=11&pos=12&cur_pos=12&ads_per_page=24&ads_count=339&lid=2h616tF1dBw_iu38&indexPosition=251,"2bdrm Block of Flats in Ivory Heights, Port-Harcourt for rent",2500000.0,per annum,2.0,3.0,3.0,465.0,Unfurnished,Newly-Built,Apartment/Flat,Eneka / Rumuduru / Rumuokwurusi
Jiji,https://jiji.ng/old-gra/houses-apartments-for-rent/3bdrm-apartment-in-old-gra-for-rent-2Djqm9fwzMuEDAdHnlNbz1HY.html?page=10&pos=17&cur_pos=17&ads_per_page=24&ads_count=339&lid=2h616tF1dBw_iu38&indexPosition=232,3bdrm Apartment in Old GRA for rent,6000000.0,per annum,3.0,4.0,4.0,684.0,Semi-Furnished,Newly-Built,Apartment/Flat,GRA / Eagle Island
Jiji,https://jiji.ng/port-harcourt/houses-apartments-for-rent/5bdrm-duplex-in-port-harcourt-for-rent-zKdp9T1rHhz8yYBKsIILlEJf.html?page=9&pos=17&cur_pos=17&ads_per_page=24&ads_count=339&lid=2h616tF1dBw_iu38&indexPosition=208,5bdrm Duplex in Port-Harcourt for rent,12000000.0,per annum,5.0,5.0,5.0,965.0,Unfurnished,Fairly Used,Duplex,GRA / Eagle Island
Jiji,https://jiji.ng/ph-gra-phase-3/houses-apartments-for-rent/3bdrm-block-of-flats-in-gra-port-harcourt-for-rent-8jId83hniRxmsyJDO8mILsvn.html?page=10&pos=16&cur_pos=16&ads_per_page=24&ads_count=339&lid=2h616tF1dBw_iu38&indexPosition=231,3bdrm Block of Flats in Gra Port Harcourt for rent,5000000.0,per annum,3.0,3.0,3.0,942.0,Semi-Furnished,Newly-Built,Apartment/Flat,GRA / Eagle Island
Jiji,https://jiji.ng/port-harcourt/houses-apartments-for-rent/3bdrm-block-of-flats-in-mopol-19-port-harcourt-for-rent-pO8yP4GQ7558jSmZ1cG98tqQ.html?page=3&pos=21&cur_pos=21&ads_per_page=24&ads_count=339&lid=2h616tF1dBw_iu38&indexPosition=68,"3bdrm Block of Flats in Mopol 19, Port-Harcourt for rent",2500000.0,per annum,3.0,4.0,3.0,465.0,Unfurnished,Renovated,Apartment/Flat,Stadium / Rumuomasi / Olu Obasanjo
Jiji,https://jiji.ng/port-harcourt/houses-apartments-for-rent/4bdrm-duplex-in-port-harcourt-for-rent-m8EjVG8s7BBNaKbzIUJjDOn.html?page=6&pos=23&cur_pos=23&ads_per_page=24&ads_count=339&lid=2h616tF1dBw_iu38&indexPosition=142,4bdrm Duplex in Port-Harcourt for rent,5000000.0,per annum,4.0,4.0,4.0,655.0,Unfurnished,Fairly Used,Duplex,Eliozu / Rumuodara / Rumuibekwe
Jiji,https://jiji.ng/port-harcourt/houses-apartments-for-rent/5bdrm-duplex-in-nta-estate-port-harcourt-for-rent-n21Hvu5E1KhgDcXsCBu7UWg.html?page=7&pos=19&cur_pos=19&ads_per_page=24&ads_count=339&lid=2h616tF1dBw_iu38&indexPosition=162,"5bdrm Duplex in Nta Estate, Port-Harcourt for rent",3000000.0,per annum,5.0,6.0,6.0,645.0,Unfurnished,Fairly Used,Duplex,Ada George / Agip / NTA
Jiji,https://jiji.ng/port-harcourt/houses-apartments-for-rent/2bdrm-block-of-flats-in-shell-corporative-port-harcourt-for-rent-hjhSrKGNnOC8XItdpAQgbC6Y.html?page=8&pos=2&cur_pos=2&ads_per_page=24&ads_count=339&lid=2h616tF1dBw_iu38&indexPosition=169,"2bdrm Block of Flats in Shell Corporative, Port-Harcourt for rent",2800000.0,per annum,2.0,3.0,3.0,465.0,Unfurnished,Newly-Built,Apartment/Flat,Eneka / Rumuduru / Rumuokwurusi
